start	end	text
228050	230271	¿El mayor de las personas que viven ahí es tu papá?
239555	241036	¿Qué edad tiene él?
241036	242357	Mi papá es de 55.
242357	248140	Debería tener unos 67 más o menos.
248140	249921	¿Tiene él alguna discapacidad?
249921	255605	No, gracias a Dios sí.
255605	257726	¿Es dependiente económico tuyo?
257726	264511	No.
264511	266252	¿Quién es la otra persona que vive ahí?
266252	266752	Mi pareja.
275162	276222	¿Qué edad tiene él?
276222	279503	Cuarenta y uno.
279503	281123	¿Tiene alguna discapacidad?
281123	283564	No.
283564	286845	¿Es dependiente económico tuyo?
286845	292406	Pues ahora más o menos, por todo el problema que le hemos arrastrado.
292406	299048	Pero pues compartimos los gastos.
299048	301308	Alguien más que vive ahí y tú, ¿verdad?
301308	301949	Sí.
301949	303769	¿Quién aporta el mayor ingreso en el lugar?
304693	309578	Yo creo que mi papá.
309578	312460	En este momento, me comentas que eres cantante profesional.
312460	314883	¿Tienes algún lugar fijo donde tú trabajes?
314883	318146	¿Alguna referencia que me puedas dar de un trabajo?
318146	319607	No, trabajo por mi cuenta.
319607	322350	Soy freelancer.
322350	326173	Me llaman para cantar y voy a los lugares.
326173	328536	Te puedo dar referencias de lugares con los que canto,
329040	330781	No, soy más bien freelancer.
330781	332762	¿Trabajas dentro de aquí del estado?
332762	333742	¿De Jalisco?
333742	334363	Sí, sí.
334363	349070	Me invitan a participar en conciertos en la República Boy, por ejemplo, en Cancún, en Guanajuato, depende de donde me inviten.
349070	352551	¿Cuántos días a la semana puedes trabajar, más o menos?
352551	355192	¿Cuántos trabajo efectivamente o cuántos podría ocupar?
355192	356053	¿Cuántos trabajas?
357515	362539	Pues, no sé, unos cinco días a la semana, aproximadamente.
362539	366922	O sea, es bastante variado.
366922	369744	¿Y cuánto es lo que tú puedes ganar con este empleo?
369744	381593	Con este empleo, no sé, unos de ocho al mes.
381593	383334	¿Perteneces a algún grupo étnico?
389149	390950	¿Tienes alguna discapacidad?
390950	399196	No.
399196	402218	¿Tienes alguna enfermedad crónico-degenerativa?
402218	405200	¿Consumes drogas o alcohol?
405200	409083	Ocasionalmente alcohol, pero en ocasión no.
409083	410744	¿Hablando de un consumo constante?
410744	410824	No.
411975	415297	Solo de manera ocasional.
415297	420321	¿Me compartías entonces que el motivo de la tensión es por tu pareja?
420321	421262	No.
421262	422723	¿Cuál es la situación?
422723	431729	La situación es que mi pareja y yo quisimos hacer un negocio con mi padrastro.
431729	433010	Mi padrastro es quien nos defraudó.
434539	439022	Mi pareja no, mi pareja es... ¿Tu padrastro es con quien vive?
439022	439702	No.
439702	440442	Él es mi papá.
440442	442583	Aunque vivimos, es mi papá.
442583	445745	¿Hace cuánto fue esta situación del fraude?
445745	455990	Todo se destapó en agosto del año pasado y tenemos estos meses recopilando información y dándonos cuenta de lo que hizo.
455990	462192	O sea, en cierto modo mi pareja es...
463870	472055	víctima, porque gran parte del dinero me lo dio él.
472055	472976	¿En qué los defraudó?
472976	474537	¿Qué negocio era?
474537	476858	Fue un negocio de agricultura.
476858	485164	Él dijo haber tenido experiencia en agricultura y como ya anteriormente habíamos hecho un cultivo con él, tuvimos confianza.
485164	491528	Entonces, propuso un negocio de chile morrón
492119	520268	se le envió dinero cuando mi pareja y yo vivíamos en el extranjero todavía mi pareja es extranjero y todo el dinero se le mandó desde afuera y utilizó todos los recursos sí invirtió en el proyecto que nos dijo pero infló todo el presupuesto, los costos y además parte del dinero que se
521553	548356	que se le hizo llegar, lo utilizó para hacer un cultivo para él sin habernos comentado nada, al final infló los presupuestos de todo el proyecto y para modo de querer justificar los gastos alteró documentos para mostrarnos gastos que no realizó.
549980	551941	¿Han acudido a alguna institución?
551941	556222	¿Qué acciones se tomaron cuando ustedes descubrieron esta situación?
556222	558363	Fui a la Fiscalía a presentar una denuncia.
558363	559163	¿En calle 14?
559163	559383	Sí.
559383	567346	Y traté de llevarlo por medios alternos, métodos alternos.
567346	569147	¿Cuándo acudiste a la Fiscalía?
569147	575549	Hace dos semanas más o menos, el 13 de febrero.
580165	583206	¿Y después acudiste a medios alternos o antes?
583206	608193	Ese mismo día, se le mandó la carpeta a medios alternos y después, una semana después más o menos, me llamaron para presentarnos para entablar la renegociación que mi padrastro declinó.
608193	609353	El problema es que
610575	631245	Bueno, además de la malversación del fondo y todo lo que pasó es que mi madre está de su parte y mi hermano es abogado y creo que él lo está asesorando y puede incluso ir en mi contra.
631245	636468	Y mi hermano trabajó en la fiscalía y tengo miedo de que él interfiera
638790	649176	en el proceso que pueda incluso sobornar o utilizar sus conexiones porque él trabajó allí.
649176	650217	¿Allí en calle 14?
650217	653758	Él trabajó en patrimoniales, en varias agencias.
653758	665345	Y además han hecho una invitación más o menos muy
668038	674903	indirecta a que desista de los cargos y me van a hacer que mi pareja sea deportada.
674903	682429	Y me acusan de falsedad de declaración, o sea, quisieran acusarme de falsedad de declaración.
682429	693997	Yo lo que quisiera es tratar de hacer las cosas por medio de justicia alternativa o algo para, para no entrar en un conflicto mayor
695002	699586	porque obviamente aunque mi mamá no me apoye pues no quisiera afectarla tanto
721036	728160	Dentro de estas amenazas o digamos intimidación, últimos episodios de violencia, ¿hace cuánto fueron más o menos?
728160	736605	Pues fue la semana pasada que tuve la conversación con mi hermano, pero no el abogado, el otro.
736605	748873	Y sí me molesté y hubo como una interacción bastante fuerte, porque yo no puedo creer que prefieran apoyar a una persona que me defraudo.
749949	761135	Entonces sí, me puse muy... me puse mal y no ha sido como una... es como una intimidación indirecta, ¿no?
761135	766198	Sino que no, pues es que tienes que pensarlo bien porque vas a afectarnos a tu pareja.
766198	767739	Como queriéndote culpar, ¿verdad?
767739	771381	Responsabilizar de algo que se cometió de esa parte.
771381	773843	¿Cuál es tu carpeta investigación en calle 14?
773843	775103	Viene ahí arribita de aquí.
775103	775403	Sí, es...
777083	779165	No sé, ¿tengo que decir N-U-C o...?
779165	782949	Nada más el número diagonal 20-23.
782949	784051	Ajá, es 11-125.
784051	793761	Entonces, quiero integrarlo y las demás cosas porque esta vez... Adelante.
817428	823370	En esta carpeta solamente se señala la nota alterada.
823370	832093	Quisiera ampliarla, no hablo de la bucea de confianza que hubo del pepino, por ejemplo, del otro cultivo que no declaró
843658	853068	el precio de los ensumos del fertilizante totalmente dispara la realidad de lo que en verdad cuesta.
853068	859834	El fertilizante nos cargó más de 100 mil pesos extras del costo real.
859834	862157	Y no les dio ningún tipo de ganancia en ningún momento.
862157	863338	En ningún momento.
863338	866521	Él dijo que no se hizo ninguna cosecha y si cosechó,
867733	873875	y de hecho me amenazó en una ocasión en que yo no iba a ver ningún solo peso de lo que él estaba cosechando.
873875	875455	¿Y todo eso lo denunciaste?
875455	889700	Eso no lo pude denunciar en ese momento porque la actuaria o la señorita que me atendió me dijo que eran demasiadas cosas para ponerlos en una sola vez que tendría que mandarlo a métodos alternos y una vez allí
890512	893093	tratar de solucionarlo por métodos alternos.
893093	904479	Y el MP también me dijo que dado caso de que él no se presentara, entonces ya me tocaba volver a integrar la carteta con todo lo que ya tenía y declarar todo lo que tengo ahora.
904479	906280	Pero no sé exactamente cómo hacerlo.
906920	907360	Ah, ok.
907360	911581	Ahorita te voy a derivar al área jurídica si te parece bien.
911581	916402	Para que te brinden asesoría respecto a las opciones que puedas tener.
916402	920423	Voy a terminar de recabar datos y pasamos a ese servicio.
920423	921504	Una pregunta.
921504	926445	La verdad es que me he afectado muchísimo porque estoy en una situación muy tensa.
928293	930394	¿También aquí dan como alguna asesoría?
930394	939337	Asesoría, claro que sí, en cuestión de asesoría de primera vez sí, no se llevan a cabo seguimientos por ahorita, pero te puedo pasar a psicología también.
939337	946760	Ahorita el servicio, en especial el día de hoy, está un poco saturado porque tenemos pocas psicólogas y aparte hoy menos una.
947560	959666	Este solo son dos, lo consideraría a tus tiempos y a los tiempos de la psicóloga según la espera que haya, pero si gustas te paso primero con un abogado para no tardarte, ¿sale?
959666	962227	Y ya lo vemos, pero hacia adelante.
962227	967750	O si gustas venir mañana o pasado, cualquier día puedes venir a tomar ese servicio de psicología también.
967750	969191	Ok, gracias.
969191	971252	¿Cómo se llama tu padrastro?
971252	972273	José Ángel Ramírez Gómez.
978157	980978	¿Qué edad tiene él?
980978	989463	Pues creo que está por allí de los 79 años.
989463	992904	¿Hace cuánto tienes tu contacto o interacción con él?
992904	993565	¿Hace cuántos años?
993565	995526	¿Que lo conozco?
995526	997647	Pues más de 25 años.
997647	1000208	Tiene aproximadamente 20 años casado con mi mamá.
1000925	1004206	Más los que estaban juntos.
1004206	1005226	¿Su domicilio?
1005226	1006207	¿Dónde se encuentran ellos?
1006207	1007247	¿Cuál es?
1007247	1019911	Es... Es este... A ver... Debe estar por aquí.
1019911	1020512	Sí, claro.
1020512	1023613	El que es con la vida, tiene.
1023613	1024453	Tiene, perdón.
1024453	1030135	Él... Él dice que es ingeniero, pero... Creo que no lo es.
1030706	1030966	¿Qué?
1030966	1032928	¿Preparatoria, secundaria?
1032928	1033988	No tengo idea.
1033988	1034929	La verdad, no sé.
1034929	1043935	Él dice que estudió en Estados Unidos, pero... ¿A qué se dedica actualmente?
1043935	1053081	Pues yo diría que a estafar gente, porque no... por lo que entiendo, no tiene una... No sé.
1053081	1057444	¿Jubilado, desempleado, desempleado?
1057444	1058145	No tengo idea.
1059093	1064136	Por lo que sé, debe estar desamplado, pero... ¿Qué?
1064136	1068859	La calle es Avenida Jalisco.
1068859	1069399	Número 397.
1069399	1070820	Interior 215.
1070820	1076423	¿Qué colonia y municipio es?
1076423	1081206	Es Tlacomulco de Zúñiga.
1081206	1082907	¿Sabes qué colonia?
1082907	1085629	Creo que es Fraccionamiento Los Agaves, no sé si así se llama.
1087499	1099702	¿Sabes alguna referencia del domicilio?
1099702	1103203	Ok, no te preocupes.
1103203	1107084	¿Sabes si él consume alguna droga?
1107084	1110085	¿Tiene algún padecimiento psiquiátrico?
1110085	1113125	¿Enfermedad mental?
1113125	1115886	¿Consume alcohol de manera constante?
1116443	1117484	No.
1117484	1120127	¿Tiene posesión de armas?
1120127	1124150	Que yo sepa no.
1124150	1127193	¿Tiene alguna farmacodependencia?
1127193	1130276	¿Perteneció al ejército, al crimen organizado?
1130276	1135881	No, que yo sepa no.
1135881	1138143	¿Algún número telefónico que tú tengas de él?
1138143	1138244	Pues...
1145941	1173138	No me lo sé en memoria pero... 33 14 17 03 21 Gracias Y respecto a sus rasgos físicos como su estatura voy a hacer varias preguntas para ubicarlo más o menos cuánto mide
1174167	1184212	Pues, debe medir aproximadamente 1,79, no sé, creo que ya por la edad disminuyó, sí.
1184212	1186953	¿Él es de complexión delgada, mediana, robusta?
1186953	1188914	Mediana.
1188914	1190975	¿Deteste su color de piel?
1190975	1197758	Naturalmente es blanco, pero está en el sol, se ve así como... ¿Moreno claro?
1197758	1198479	Blanco.
1198479	1200379	¿Su color de cabello?
1200379	1201580	Canoso ahora mismo.
1202770	1205852	Largo, mediano, corto.
1205852	1208553	Chino.
1208553	1211055	Nariz recta, aplanada, ancha.
1211055	1213116	Ancha.
1213116	1214757	Ojos de qué color.
1214757	1218499	Café, café claro.
1218499	1221921	Labios gruesos, regulares, delgados.
1221921	1224983	Creo que más bien delgados.
1224983	1227544	Sus ojos son pequeños, grandes, medianos.
1229502	1235007	¿Y de su forma de ojos redondos, altones, alargados, hundidos?
1235007	1241772	Pues... No sé, mediano o redondo, no tan grande, no sé.
1241772	1244835	Ni tan redondo, son... ¿Señas particulares?
1244835	1248738	¿Usa bigote, barba, algún tatuaje, cicatriz?
1248738	1252781	¿Lunar?
1252781	1254603	¿Su estado de salud es bueno?
1254603	1256604	¿Sabe si tenga alguna enfermedad?
1256604	1257325	Pues...
1258573	1264494	En teoría dicen que tenía algunos problemas con el próstata.
1264494	1265874	¿Y a por la edad?
1265874	1273016	Por la edad, porque desde hace mucho yo entiendo que tiene esos problemas y no se ha tratado correctamente.
1273016	1278477	¿A quién podemos registrar en tu expediente, Estefanía, como un árbitro?
1278477	1281117	A mi papá.
1281117	1282457	¿Cómo se llama él?
1282457	1285078	Mario Áviles.
1288272	1292193	Días.
1292193	1294793	Mismo domicilio, ¿verdad?
1294793	1296394	¿A qué se dedica tu papá?
1296394	1299354	Mi papá es contador.
1299354	1304215	¿Algún teléfono que me puedas compartir?
1304215	1304715	Es el 3319-71-4459.
1304715	1305836	¿Qué edad tiene tu papá?
1318775	1320577	Creo que el 67.
1320577	1322178	Ah, me habías dicho en el registro.
1322178	1322779	Aquí ya lo registramos.
1322779	1323479	Yo haría acá el otro.
1323479	1324741	Y este era del 55, ¿verdad?
1324741	1325021	Sí, del 55.
1325021	1325641	Y acá el otro.
1352414	1371031	Bueno, dentro de los tipos y modalidades de violencia, pues entiendo que hay violencia psicológica por la situación de las amenazas, tenemos violencia económica por la situación de la estafa, de lo que hubo, y nos entra dentro de una modalidad familiar,
1371523	1377025	por el hecho de tener un vínculo, no de manera directa, pero pues sí está dentro de la familia.
1377025	1384989	Ahorita voy a aplicar unos instrumentos de valoración de riesgo que igual nos van a ayudar a detectar en qué color estamos.
1384989	1400456	La violencia se mide por colores verde, amarillo, rojo, morado y sobre esta valoración voy a entregarte un plan de seguridad para que tú te mantengas segura, sin eventos de violencia y si así los tuvieras, sepas qué hacer y no te pongas en riesgo.
1405405	1411186	En el último año, ¿tu padrastro te ha ejercido violencia física de manera severa y constante?
1411186	1416127	No.
1416127	1418947	¿Me comentas que él posiblemente sí esté desempleado?
1418947	1422268	¿Alguna vez te ha amenazado de muerte con algún arma letal?
1422268	1423768	No.
1423768	1427649	¿Ha evitado ser arrestado por violencia doméstica?
1427649	1427829	No.
1427829	1433330	¿Te ha intentado estrangular o asfixiar?
1433330	1433450	No.
1434835	1441078	¿Controla tus actividades?
1441078	1444919	¿Alguna vez él amenazó con suicidarse o hacerse daño?
1444919	1446140	No, que yo sepa no.
1446140	1447881	¿Crees que sea capaz de matarte?
1447881	1450962	Espero que no.
1450962	1451602	¿Te sigue?
1451602	1452763	¿Te espía?
1452763	1454683	¿Te manda mensajes amenazantes?
1454683	1454824	No.
1454824	1456744	¿Te llama insistentemente?
1456744	1457765	No, al contrario.
1457765	1462067	No, al contrario, digo, me... ¿Te aplica la ley del hielo?
1462067	1462527	Me canceló...
1463504	1464985	Todo contacto.
1464985	1470388	Me bloqueó.
1470388	1479134	¿Tú alguna vez en el último año has intentado o pensado o amenazado en dañarte a ti misma?
1479134	1485217	No, he sufrido algo de depresión pero no al grado de quererme morir.
1509110	1517255	¿En algún momento, en todos estos años, él te ha realizado alguna broma hiriente?
1517255	1518055	No.
1518055	1521397	¿Algún chantaje?
1521397	1531804	No, tal vez alguna vez tuve alguna pelea con mi mamá y él hizo la finta de querer pegarme, pero eso fue hace muchos años.
1531804	1535406	¿Te ha llegado a culpar, a descalificar, a ofender?
1537060	1541684	Probablemente, pero no lo recuerdo claramente.
1541684	1545147	¿Te han llegado a amenazar?
1545147	1556978	Bueno, hace más o menos en octubre, más o menos, sí me culpó a mí de ser una mala hija.
1556978	1564204	Y sí, son cosas así como, tú no tienes la culpa de que tu madre, etcétera, etcétera, etcétera.
1564668	1566349	¿Sientes que te humilló en público?
1566349	1569132	¿Te intimidó?
1569132	1570093	Más o menos.
1570093	1573255	Sí, un poco.
1573255	1582103	¿Te llegó en algún momento a minimizar o descalificar?
1582103	1583184	No recuerdo.
1583184	1589008	La verdad, la dinámica a veces con mi familia siempre fue así entre todos.
1589008	1590309	De ser muy...
1593457	1604344	Pues como yo soy la que no se queda callada, entonces todos los demás... Se altera todo el contexto, entiendo.
1604344	1613169	¿Te ha llegado el momento de destruir algún artículo personal, empujar, jalonear, algo más de la cuestión de la violencia psicológica?
1613169	1616771	No.
1616771	1617572	Muchas gracias.
1617572	1619773	Tenemos un riesgo variable, color verde.
1620406	1627573	Te voy a entregar el plan de seguridad acorde a este nivel de riesgo dentro de las violencias que detecten tipo y modalidades.
1627573	1630596	Tipo psicológica económica y modalidad familiar.
1630596	1632758	¿Hasta ahorita alguna duda?
1632758	1634659	No.
1634659	1639364	Te voy a pedir si me regalas unas firmas para validarme esta entrevista.
1639364	1641206	Y voy a entregarte plan de seguridad.
1641206	1645710	A su vez también voy a solicitar el servicio de un abogado o abogada.
1646242	1649344	para que nos apoye con tu asesoría.
1649344	1652166	¿Cómo es que tú te enteraste de nuestros servicios?
1652166	1658911	Porque acudí a la Centro de Igualdad Sustentiva de Enredo.
1658911	1659932	Ah, ok.
1659932	1660952	¿Lo viste en internet?
1660952	1661933	Lo vi en internet.
1661933	1668557	Es que allá son oficinas administrativas y aquí la trata de atención.
1668557	1669278	Muy bien.
1669278	1671940	Te paso entonces para que me regales estas firmas, ¿va?
1672765	1675592	Nombre y firma, nombre, fecha y firma.
1675592	1678057	Nombre, nombre y firma.
1678057	1679520	Nombre, fecha y firma.
1679520	1681465	Si tienes duda, de todas maneras me lo dices.
1681465	1681846	Yo aquí estoy.
